epoch,batch,train_loss,train_accuracy,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
0,0.0,3.7716286,0.03125,,,,,
1,2.0,2.9458895,0.21875,,,,,
1,3.0,3.7175756,0.09375,,,,,
1,4.0,3.434482,0.09375,,,,,
1,5.0,3.1134028,0.21875,,,,,
1,6.0,3.2682123,0.15625,,,,,
1,7.0,3.4536645,0.125,,,,,
1,8.0,3.4457555,0.0625,,,,,
1,9.0,2.8274546,0.125,,,,,
1,10.0,2.6671314,0.28125,,,,,
1,11.0,2.8181608,0.125,,,,,
1,12.0,2.856321,0.25,,,,,
1,13.0,2.4942138,0.3125,,,,,
1,14.0,2.8967872,0.15625,,,,,
1,15.0,2.9710078,0.1875,,,,,
1,16.0,2.7147987,0.21875,,,,,
1,17.0,2.6221328,0.15625,,,,,
1,18.0,2.708147,0.25,,,,,
1,19.0,2.9226394,0.15625,,,,,
1,20.0,2.7760212,0.09375,,,,,
1,21.0,2.8664958,0.1875,,,,,
1,22.0,2.7884355,0.15625,,,,,
1,23.0,2.7099264,0.09375,,,,,
1,24.0,2.536051,0.1875,,,,,
1,25.0,3.0202672,0.15625,,,,,
1,26.0,2.7467697,0.15625,,,,,
1,27.0,2.7112353,0.1875,,,,,
1,28.0,2.654162,0.15625,,,,,
1,29.0,2.8441753,0.15625,,,,,
1,30.0,2.4333284,0.3125,,,,,
1,31.0,2.5338004,0.21875,,,,,
1,32.0,2.7950282,0.15625,,,,,
1,33.0,2.6175516,0.09375,,,,,
1,34.0,2.7634008,0.1875,,,,,
1,35.0,2.564838,0.28125,,,,,
1,36.0,3.049134,0.0625,,,,,
1,37.0,2.7721171,0.21875,,,,,
1,38.0,2.7063622,0.1875,,,,,
1,39.0,3.0600946,0.03125,,,,,
1,40.0,2.40311,0.28125,,,,,
1,41.0,2.5512862,0.125,,,,,
1,42.0,2.6901138,0.15625,,,,,
1,43.0,2.5231643,0.1875,,,,,
1,44.0,2.3989604,0.25,,,,,
1,45.0,2.3392787,0.28125,,,,,
1,46.0,2.2468266,0.3125,,,,,
1,47.0,2.7021,0.125,,,,,
1,48.0,2.5059762,0.28125,,,,,
1,49.0,2.1449492,0.40625,,,,,
1,50.0,2.5508842,0.15625,,,,,
1,51.0,2.4138043,0.25,,,,,
1,52.0,2.2169838,0.25,,,,,
1,53.0,2.35042,0.25,,,,,
1,54.0,2.3109577,0.1875,,,,,
1,55.0,2.2080693,0.34375,,,,,
